CustomerID,Recency,Frequency,Monetary,TotalQuantity,AverageOrderValue,UniqueProducts
12346,326,1,77183.6,74215,77183.6,1
12347,2,7,4310.0,2458,615.7142857142859,103
12348,75,4,1797.24,2341,449.31,22
12349,19,1,1757.55,631,1757.5500000000002,73
12350,310,1,334.4,197,334.40000000000003,17
12352,36,8,2506.04,536,313.25500000000005,59
12353,204,1,89.0,20,89.0,4
12354,232,1,1079.4,530,1079.3999999999999,58
12355,214,1,459.4,240,459.4,13
12356,23,3,2811.43,1591,937.1433333333333,53
12357,33,1,6207.67,2708,6207.67,131
12358,2,2,1168.06,248,584.03,13
12359,58,4,6310.03,1609,1577.5075000000002,214
12360,52,3,2662.06,1165,887.3533333333334,105
12361,287,1,189.9,91,189.89999999999998,10
12362,3,10,5226.23,2229,522.6229999999999,201
12363,110,2,552.0,408,276.0,23
12364,8,4,1313.1,1506,328.27500000000003,70
12365,291,2,641.38,174,320.68999999999994,22
12367,4,1,168.9,173,168.89999999999998,11
