CustomerID,Recency,Frequency,Monetary,TotalQuantity,AverageOrderValue,UniqueProducts,Cluster,Segment
12346,326,1,77183.6,74215,77183.6,1,1,High-Value Loyal
12347,2,7,4310.0,2458,615.7142857,103,1,High-Value Loyal
12348,75,4,1797.24,2341,449.31,22,2,Regular / Growth
12349,19,1,1757.55,631,1757.55,73,2,Regular / Growth
12350,310,1,334.4,197,334.4,17,0,At-Risk / Low-Value
12352,36,8,2506.04,536,313.255,59,1,High-Value Loyal
12353,204,1,89.0,20,89.0,4,0,At-Risk / Low-Value
12354,232,1,1079.4,530,1079.4,58,2,Regular / Growth
12355,214,1,459.4,240,459.4,13,2,Regular / Growth
12356,23,3,2811.43,1591,937.1433333,53,1,High-Value Loyal
12357,33,1,6207.67,2708,6207.67,131,1,High-Value Loyal
12358,2,2,1168.06,248,584.03,13,2,Regular / Growth
12359,58,4,6310.03,1609,1577.5075,214,1,High-Value Loyal
12360,52,3,2662.06,1165,887.3533333,105,1,High-Value Loyal
12361,287,1,189.9,91,189.9,10,0,At-Risk / Low-Value
12362,3,10,5226.23,2229,522.623,201,1,High-Value Loyal
12363,110,2,552.0,408,276.0,23,2,Regular / Growth
12364,8,4,1313.1,1506,328.275,70,1,High-Value Loyal
12365,291,2,641.38,174,320.69,22,2,Regular / Growth
12367,4,1,168.9,173,168.9,11,0,At-Risk / Low-Value
12370,51,4,3541.94,2352,885.485,143,1,High-Value Loyal
12371,45,2,1887.96,591,943.98,63,2,Regular / Growth
12372,72,3,1298.04,794,432.68,34,2,Regular / Growth
12373,311,1,364.6,197,364.6,14,0,At-Risk / Low-Value
12374,25,1,742.93,342,742.93,33,2,Regular / Growth
12375,11,2,457.5,178,228.75,14,2,Regular / Growth
12377,315,2,1628.12,944,814.06,72,2,Regular / Growth
12378,130,1,4008.62,2529,4008.62,219,1,High-Value Loyal
12379,82,2,852.24,407,426.12,39,2,Regular / Growth
12380,22,4,2724.81,1127,681.2025,77,1,High-Value Loyal
12381,5,5,1845.31,808,369.062,70,1,High-Value Loyal
12383,185,5,1850.56,1532,370.112,84,2,Regular / Growth
12384,29,2,585.27,126,292.635,26,2,Regular / Growth
12386,338,2,401.9,354,200.95,10,0,At-Risk / Low-Value
